Product Name,Brand Name,Price,Rating,Reviews,Review Votes,review_len,Sentiment
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)",,99.99,5,good buy,0.0,8,Positive
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)",,99.99,5,great phonegood price,0.0,21,Positive
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)",,99.99,1,I bought and send to Africa the two are not working,0.0,51,Neutral
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)",,99.99,4,Had difficulty connecting to wf,0.0,31,Neutral
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)",,99.99,5,very good,0.0,9,Positive
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)",,99.99,5,"Excelent product, excellent condition and even better price. I don't miss anything from the 6",1.0,93,Positive
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)",,99.99,5,Great product!,0.0,14,Positive
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)",,99.99,1,"Do not buy this phone. it is used, no head phone, chip charger not original, no iPhone box",0.0,90,Neutral
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)",,99.99,1,Bad batery,0.0,10,Negative
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)",,99.99,3,"The phone works ..not sure if its unlocked to work with any carrier , but its unlocked i currently have metro pcs and my sim card did not work in phone..i did not get headphones with the phone but overall the phone is in mint condition",0.0,235,Neutral
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)",,99.99,2,"sometimes the sound on videos , music & keyboard clicks are just loud static & it won't turn down , not worth more than $100 IF THAT ...",0.0,136,Neutral
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)",,99.99,1,Wifi couldnt be enabled. Apparently had a hardware glitch after updating it and could not be fixed.,0.0,99,Neutral
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)",,99.99,4,"exactly as described, great condition, refurb phone...although it is unlocked the format stops it from being used with all carriers...",0.0,134,Positive
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)",,99.99,5,Arrived diligently . Phone was as new. I installed micro chip and called,0.0,72,Neutral
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)",,99.99,4,Good,0.0,4,Positive
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)",,99.99,3,this is no box.I don't know.so so.,0.0,34,Neutral
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)",,99.99,5,Look's like a new brand iPhone and works perfectly. Just what i was looking for.,0.0,80,Positive
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)",,99.99,1,The phone stopped working after less than 30 days. I'm in Argentina and it's impossible to ship items from other countries in here. I guess it's a waste of time and money. Extremely dissapointed of my purchase and don't have any plans to shop again here.,0.0,254,Negative
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)",,99.99,5,Looks like a new phone. Works well.,0.0,35,Neutral
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)",,99.99,4,Working good..,1.0,14,Positive
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)",,99.99,5,Works real good,0.0,15,Positive
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)",,99.99,5,Excellent product. No signs of usage. In 100% perfect condition. Does not come with original charger. No headphones also.,4.0,121,Positive
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)",,99.99,5,This is so much better than my old 4s. It upgraded seamlessly to os9 and works perfectly.,0.0,89,Positive
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)",,99.99,3,"Sending it back. Apps can not download as this phone can only take up to ios 7, and all the new apps are now using ios 9",0.0,120,Neutral
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)",,99.99,5,"The phone works great, I'm just not an iPhone person.",0.0,53,Positive
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)",,99.99,5,Lasted for around 27 days now it won't hold a charge. I loved it when it first game updated it to ios 9.1.2 and it screwed me over not even a month what it. I don't even know what to do.EDIT: Product works. It was just the power brick that came with it. It no longer works. I do have another power brick and the phone does hold a charge.,0.0,337,Neutral
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)",,99.99,5,Works like a brand new phone. Works great.,0.0,42,Positive
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)",,99.99,3,"Although this did not come with original accessories as stated, knock off charger and no headphones which were include in the original accessories of the iphone 4, the phone seems to work fine for my teenager, the exterior is in excellent shape. Will update when I take it to our carrier.",0.0,288,Positive
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)",,99.99,5,"it was in great condition, and received it just as they stated",0.0,62,Positive
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)",,99.99,3,"I've got to be honest, i was a little leary about this product. I ordered it THEN looked at the reviews, boy were they unappealing to read. I was super nervous about what i had just ordered, but to my surprise, it was just fine. Yes, the phone is unlocked, but the box it came in said it would not work for any sprint or sprint affiliated carrier, so that was confusing. The battery is just as everybody says, discharges super fast and turns off when its around 20%. Phone looked brand new, no scratches. Powered right up and put my sim card in, service kicked right in. Overall, not bad.",0.0,588,Neutral
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)",,99.99,4,No problem so far. So good,0.0,26,Positive
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)",,99.99,5,"This iPgone was perfect for what I needed. Arrived in perfect condition, unlocked as said, and is working perfectly.",0.0,116,Positive
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)",,99.99,5,Let's hope he can keep from cracking this one. LOL,0.0,50,Positive
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)",,99.99,1,I purchased this phone for my son on July 7 and on August 9 the phone conveniently died. It wouldn't charge at all and sits here as a tribute to my stupidity for listening to my teenage son who told me about purchasing a refurbished phone-- I know betterTHIS IS A SCAM! Do not buy this phone!,0.0,292,Negative
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)",,99.99,1,Is old phone no is new I want my money is back no want phone,0.0,60,Neutral
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)",,99.99,5,recomiendo,0.0,10,Neutral
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)",,99.99,5,It works with my T-Mobile SIM card and functions properly I love it,0.0,67,Positive
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)",,99.99,1,"I was using an iPhone 6, but it was lost to the water. This looked like a good option until the new iPhone 7's are released. Unfortunately, the performance difference is significant between this phone and an iPhone 6. The battery is really weak and normally requires charging before the day is over. The phone is super slow - The camera is slow to open; apps are terrible. Not sure if it is the IOS 9 on a iPhone 4 or the phone is bad, but this thing is much slower than the iPhone 4 I had years ago. Overall, the phone is very frustrating to use!",1.0,547,Neutral
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)",,99.99,5,Fast ship and exactly as described. Thank you.,0.0,46,Positive
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)",,99.99,5,There is no damages and scratches to this item it is good as new I loved it......,0.0,81,Positive
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)",,99.99,5,"Iphone arrived in perfect condition, looks absolutely brand new. Battery life is great and it seems that the phone has never been used. We activated on Tracfone using their BYOP sim card and had no issues.",3.0,205,Positive
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)",,99.99,1,"This product said it was for Verizon,but it wasn't even there's.",2.0,64,Neutral
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)",,99.99,1,"Phone is not charging, I bought it for my dad and sent it to India. It worked normal for 4-5 days then suddenly started giving problems, phone would hang often. One the torch would turn on and then it wouldn't turn off, turned off when the battery went out. Finally now the phone would not charge at all, tried to reset holding the power and start button and it would not do anything. Totally disappointed, have to figure out how to get my money back.",7.0,451,Neutral
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)",,99.99,1,Its was not unlocked I tried to put cricket wireless for it and it keep telling me the sim was invalid so I called Cricket Wireless and they told me to call Sprint and they told me it was not unlocked,1.0,200,Neutral
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)",,99.99,5,I got this iPhone on straight talk works great,0.0,46,Positive
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)",,99.99,1,Not GSM!!,1.0,9,Neutral
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)",,99.99,5,"Phone brand new, no scratches all excellent",3.0,43,Positive
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)",,99.99,5,it is working fine as discribed,0.0,31,Positive
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)",,99.99,5,Nice,0.0,4,Positive
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)",,99.99,5,Good service and product. Recommended! Thank you.,0.0,49,Positive
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)",,99.99,5,Works great.,1.0,12,Positive
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)",,99.99,5,Came on time loved it looks even bigger than expected...having turned it on as yet but I'm blown over thought it would have looked bad....only thing I wish it came with the headphone and manual that wud a have been a plus buuuuttttt love love love my new iPhone thanks amazon love yah.......,3.0,291,Positive
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)",,99.99,5,Worth and full functional.,1.0,26,Positive
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)",,99.99,5,"This device works in Venezuela, is unlocked, has no box but is a new device, the charger and the cable is very cheap and low quality.",1.0,133,Positive
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)",,99.99,2,It would in the area where I live.,0.0,34,Neutral
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)",,99.99,3,Volume no good cheap,1.0,20,Neutral
"Apple iPhone 4s 8GB Unlocked Smartphone w/ 8MP Camera, White (Certified Refurbished)",,99.99,5,The iphone 4S was in pristine condition even though the description may not claim so. Also it was unlocked and I checked to see that it worked in AT&T. I sent the phone to India for use on the GSM network over there. I am very happy with the purchase. Highly recommended for the price. I paid $85 in July 2016.,0.0,310,Positive
